date,values,variable,senario,metric
2035-09-28,33.70294195420278,TSA_U,cntl,vhds
2035-09-29,35.71322974409642,TSA_U,cntl,vhds
2035-09-30,33.68167672561456,TSA_U,cntl,vhds
2035-10-01,34.66217982019595,TSA_U,cntl,vhds
2035-10-02,35.317648149022986,TSA_U,cntl,vhds
2035-10-03,35.325238518230265,TSA_U,cntl,vhds
2035-10-04,35.41153034286884,TSA_U,cntl,vhds
2035-10-05,36.25875296823659,TSA_U,cntl,vhds
2035-10-06,35.08988004945053,TSA_U,cntl,vhds
2035-10-07,34.20040773672064,TSA_U,cntl,vhds
2035-10-08,34.4416589940546,TSA_U,cntl,vhds
2035-10-09,35.462636172392905,TSA_U,cntl,vhds
2035-10-10,35.457374011181734,TSA_U,cntl,vhds
2035-10-11,35.40889181289974,TSA_U,cntl,vhds
2035-10-12,35.30605051069742,TSA_U,cntl,vhds
2035-10-13,34.322390491715225,TSA_U,cntl,vhds
2035-10-14,34.06599267891334,TSA_U,cntl,vhds
2035-10-15,34.04795454084011,TSA_U,cntl,vhds
2035-10-16,33.87156008223436,TSA_U,cntl,vhds
2035-10-17,35.074961088643086,TSA_U,cntl,vhds
2035-10-18,34.14820668845026,TSA_U,cntl,vhds
2035-10-19,34.25951809955493,TSA_U,cntl,vhds
2035-10-20,35.64434789112194,TSA_U,cntl,vhds
2035-10-21,33.0305825294073,TSA_U,cntl,vhds
2035-10-24,33.65498489782547,TSA_U,cntl,vhds
2035-10-25,33.40211141899185,TSA_U,cntl,vhds
2035-10-26,33.67153539015535,TSA_U,cntl,vhds
2036-04-16,33.107899587845075,TSA_U,cntl,vhds
2036-04-17,33.4131480115019,TSA_U,cntl,vhds
2036-04-22,33.00441567746768,TSA_U,cntl,vhds
2036-04-29,33.54592354016668,TSA_U,cntl,vhds
2036-04-30,33.94312399179374,TSA_U,cntl,vhds
2036-05-01,33.70373491704483,TSA_U,cntl,vhds
2036-05-03,33.06444736005657,TSA_U,cntl,vhds
2036-05-23,33.23973375264457,TSA_U,cntl,vhds
2036-05-24,34.21850398987978,TSA_U,cntl,vhds
2036-05-25,33.71745220445801,TSA_U,cntl,vhds
2036-05-28,34.435564198504494,TSA_U,cntl,vhds
2036-05-29,35.384390437453405,TSA_U,cntl,vhds
2036-05-30,35.61975222228989,TSA_U,cntl,vhds
2036-05-31,35.1963848811229,TSA_U,cntl,vhds
2036-06-01,34.95866075935963,TSA_U,cntl,vhds
2036-06-02,35.479554838445075,TSA_U,cntl,vhds
2036-06-03,35.599901351539344,TSA_U,cntl,vhds
2036-06-04,36.09028964457814,TSA_U,cntl,vhds
2036-06-05,35.60936963060666,TSA_U,cntl,vhds
2036-06-06,34.909695601087265,TSA_U,cntl,vhds
2036-06-07,34.84821041722913,TSA_U,cntl,vhds
2036-06-10,36.2099696267436,TSA_U,cntl,vhds
2036-06-11,33.663295345756055,TSA_U,cntl,vhds
2036-06-18,33.97750761566924,TSA_U,cntl,vhds
2036-06-19,34.466173651341855,TSA_U,cntl,vhds
2036-06-20,34.38808029153335,TSA_U,cntl,vhds
2036-06-21,34.4057967181812,TSA_U,cntl,vhds
2036-06-22,34.67798679373994,TSA_U,cntl,vhds
2036-06-23,33.94169997430227,TSA_U,cntl,vhds
2036-06-24,33.56485554651598,TSA_U,cntl,vhds
2036-06-25,33.88111969515575,TSA_U,cntl,vhds
2036-06-26,34.66852399676771,TSA_U,cntl,vhds
2036-06-27,35.00058271806771,TSA_U,cntl,vhds
2036-06-28,33.70884609333346,TSA_U,cntl,vhds
2036-06-29,33.94857353210635,TSA_U,cntl,vhds
2036-06-30,34.1879491706615,TSA_U,cntl,vhds
